"[Clostridium] saccharolyticum WM1","Bacteroides fragilis NCTC 9343","Microcystis aeruginosa_id237","Escherichia coli_strainK12_id164","Pseudomonas_aeruginosa_PAO1_id88","Thermodesulfatator indicus DSM15286","Spirochaeta thermophila DSM6192","Mycoplasma genitalium_Parraga-Nino2012","Bifidobacterium adolescentis","Lactococcus lactis_SC_id35","Parabacteroides merdae ATCC43184","Caldithrix abyssi DSM13497","Halobacterium salinarum(NRC-1)_426241930","Borreliella burgdorferi B31","Bacteroides uniformis ATCC8492","Salmonella enterica_id211","Microcystis aeruginosa_id326","Halobacterium salinarum(NRC-1)_1643484108","Microcystis aeruginosa_id368","Collinsella aerofaciens","Thermoplasma acidophilum DSM1728","Streptococcus pyogenes_id280","Streptococcus pyogens_360","Odoribacter splanchnicus DSM20712","Leptospira_interrogans_id460","Borrelia burgdorferi","Akkermansia muciniphila ATCC BAA-835","Archaeoglobus profundus DSM5631","Prevotella copri DSM18205","Escherichia coli_id432","Thermoplasma volcanium GSS1","Thermococcus gammatolerans EJ3","Bacillus subtilis_id493","Methanocaldococcus jannaschii DSM2661","Streptococcus parasanguinis FW213","Staphylococcus aureus_Mu50","Microcystis aeruginosa_id63","Methanopyrus kandleri AV19","Microcystis aeruginosa_HUB5-3_id169","Leptospira interrogans_id165","Streptococcus pyogens_307","Streptococcus pneumoniae TIGR4","Streptococcus pneumoniae D39","Methanothermobacter thermautotrophicus str. Delta H","Helicobacter pylori_id207","Helicobacter pylori_107","Bacteroides vulgatus ATCC8482","Streptococcus pneumoniae TIGR4","Streptococcus pneumoniae D39","Mesoplasma florum L1","Halobacterium salinarum NRC-1_733029681","Methanothermobacter marburgensis str. Marburg","Fusobacterium nucleatum subsp. nucleatum ATCC25586","Mycoplasma tuberculosis_id62","Microcystis aeruginosa_id167","Mycoplasma hominis ATCC23114","Mycoplasma hominis ATCC23114","Pelagibacter ubique_Smith2016","Veillonella parvula DSM2008","Mycobacterium tuberculosis_id156","Synechococcus elongatus PCC7942","Mycobacterium tuberculosis_id147","Mycoplasma hominis_Semashko2020","Nanoarchaeum equitans","Bartonella henselae","Bacillus subtilis_id312"
310394.899181251,222303.634184123,441.012576463198,16780.8516598449,1950.65582556879,73443.0826903022,144197.515021803,207.927855695666,32210.8823534172,291.832892295715,176961.232049329,204667.648456063,21604.1964023971,3035.21214972264,133782.773275291,5164.93440214408,1715.52852219894,10153.6247392274,2724.90360155335,48254.2100556738,20673.9541834371,1096.87908902035,1096.87908902035,183167.869770394,7537.40603094439,2871.0930538976,93020.7193646997,41156.8574359554,107994.002794157,682.470768749569,21597.155190009,22569.0119473387,34.7033928613541,27488.6246343959,33724.3476506899,1344.74061739487,445.297885070097,35993.5768064888,173.564128933032,9292.46127524298,33.5948743292788,19005.8820367765,24147.578970034,23903.2708064623,17.3133655592787,27.6644779393503,78024.7176862851,16650.8295088941,21155.4096623651,3454.73649728839,55638.7907541942,12241.1251558412,40709.6159322972,905.874111801815,200.82352495588,3892.01086222464,3702.71617403523,1068.93697931362,22144.0738626469,1130.74984320093,103034.643141249,1362.69422427807,0.226459811538168,0.35173335004513,790.868049986479,79.0437954500482
248687.929272474,170168.754708919,220.506288231599,2455.7343892456,390.131165113757,66605.9659411421,77721.0924239972,20.7927855695666,30911.0283924651,40.0991760406326,125876.892153961,200499.499453456,4077.61322826701,15924.3519405432,117967.094513162,62.2281253270371,935.74283029033,109551.665119975,838.431877401032,47031.2303031731,14981.731430579,40.625151445198,40.625151445198,92693.0776851784,384.071644888886,15063.2950808701,77305.6369344319,23868.7600615446,100140.293485232,966.833589061889,15504.7320872408,41405.7601622279,72.2987351278211,26430.5483874703,32858.1400911687,8.1747149993609,148.432628356699,27449.4603800078,173.564128933032,252.665110202981,1299.00180739878,3297.45676356348,3786.56185820687,19736.6456200147,11.5422437061858,108.608691169301,75988.853153077,2888.86305180696,3317.36226731719,3333.33502576941,4084.65861774898,10714.8995038722,29930.4967390254,700.621589737787,100.41176247794,3525.01626361896,3474.14377562178,188.635937525933,19201.1816316028,911.895034839459,71753.5622618391,884.866379401346,43.7720978006661,0.365994659659216,135.746008579769,1205.41788061324
175459.967503365,161975.612320108,220.506288231599,272.859376582844,1430.48093875044,54059.9053345752,51956.0314651247,103.963927847833,22672.8089467327,122.525260124155,104018.312226347,168925.358886278,45926.8016236389,25903.2801697667,102135.741143737,11983.3589915494,155.957138381722,2618.44601946292,419.215938700516,37235.2354267813,14687.9232518071,13.5417171483993,13.5417171483993,84451.1547649904,1872.34926883332,24502.6456471508,43366.0518994655,18112.3580630312,87780.4176307094,284.36282031232,11552.4869899738,61821.3743508913,1503.81369065868,16985.2119835178,27867.9128929211,198.236838734502,148.432628356699,21050.8973082917,173.564128933032,2021.32088162385,16.7974371646394,20194.6009601791,7777.52302409967,18745.8261378786,112.536876135312,548.166507316756,66383.426456274,17692.252163695,6813.7963618418,2887.60811144244,24823.5704894107,9933.39242735908,25962.2816271386,2471.91138351149,100.41176247794,2200.76235485707,2998.01656236984,607.826909805784,18623.0961652867,114.638232951246,58366.205314775,141.578620704215,155.938098414873,0.555171012582017,505.604698623197,345.816605093961
166619.427401821,151740.989269633,220.506288231599,272.859376582844,4053.02932645959,51089.9415688928,38900.834952967,602.990781517431,21976.5753498774,227.228664230251,92998.8918684327,166396.4621594,18342.1058197835,11857.742244049,100333.161304644,1262.34197091989,155.957138381722,11474.2820110526,209.607969350258,35370.3736570637,11078.2088929859,67.7085857419967,67.7085857419967,84024.3301644554,2304.42986933332,11216.5739040377,42823.7072305491,16975.3953399463,83937.8931882474,966.833589061889,10705.3642672388,28542.3882147844,13279.8316682782,15699.1269436103,25012.1518696445,143.057512488816,593.730513426796,20949.8825552425,173.564128933032,3368.86813603975,627.104320813204,5929.97387934867,26576.4378319347,17592.1959427155,245.272678756448,136.273169108652,40432.4371903803,5195.1803060847,23283.3043179469,2414.97171396628,5146.93542756617,8839.18309185949,22986.6650783844,2.96037291438502,100.41176247794,2088.0124543659,2192.98132102916,167.676388911941,16784.881539623,10.4216575410224,57131.7819996238,11.7982183920179,162.929475146924,0.577631061927563,69.8403377475622,355.697079525217
104912.457493043,127179.70859797,220.506288231599,272.859376582844,151.717675322017,42521.662968594,34376.9848956617,83.1711422782664,21769.5575354759,57.9210320586915,89283.9521460632,136329.774690004,2990.24970072914,44.4256275910635,92252.9012433187,1022.31920180132,155.957138381722,14464.3415485615,209.607969350258,29161.867100383,10558.7003535329,67.7085857419967,67.7085857419967,74910.7232009215,3120.5821147222,42.0234581636739,41482.9106879503,15508.8277697231,74269.251055831,227.490256249856,10125.2045152249,17678.9131674548,1521.16538708936,14649.1320209928,22076.8522905879,486.395542461973,148.432628356699,16930.0726110449,173.564128933032,58169.123148953,1075.03597853692,565.879737494747,3946.97650474519,15491.6054779052,519.400966778361,491.812941144005,40160.1507816179,495.760576295825,3457.89965069516,2319.15630839244,13238.6247423467,8750.19469065348,22235.9511266847,11.8414916575401,100.41176247794,1588.74311948115,1693.11102183604,733.58420148974,16127.1271518987,823.310945740769,38214.7861086658,849.471724225292,17.6304282808238,0.62330421566137,116.072674002991,661.991786894154
102861.452189485,118868.613993151,220.506288231599,19918.7344905476,65.0218608522929,31134.1678424591,32397.0810537877,41.5855711391332,19892.2328290883,86.8815480880372,86352.7549811556,126016.48901557,21461.1222540369,9536.47941996006,90669.7659063762,311.140626635185,155.957138381722,4973.90401077017,419.215938700516,25009.084958691,9032.98580082364,176.042322929191,176.042322929191,65322.1987241163,384.071644888886,9020.82571848783,38224.5383516827,14012.9288480954,58840.4887906781,4208.56974062234,10009.3714199213,11762.5515046177,4650.25464342145,14040.1465106237,21509.1867075558,16.3494299987218,148.432628356699,15236.4881227801,347.128257866063,3733.82885077739,5.59914572154646,2708.05029737639,1314.36516841072,14477.5273224795,210.645947637891,674.193573484908,38178.7435301623,2372.4909854682,1151.4998509034,1972.95036781068,24314.9033247098,8187.43005285905,15163.5501680748,799.300686883954,100.41176247794,1518.598339058,1627.12452664418,1278.53246545355,15695.7490896394,5836.12822297254,33356.5001958191,6388.73525927772,0.422522332936985,0.630142976648251,3071.9911941639,355.697079525217
100407.318257296,116818.060084102,441.012576463198,818.578129748532,498.500933200912,28633.4656459758,29719.9353273999,103.963927847833,17706.560535987,274.011036277656,83045.3613886662,111040.807421224,24394.1422954219,3212.05849167508,74995.1586099156,5698.31833351868,311.914276763443,21444.9585567804,1048.03984675129,23969.6737376293,8155.04122601601,40.625151445198,40.625151445198,58054.1572868388,6145.14631822218,3038.37701262623,32656.8968497514,13212.530953838,50213.1414499213,170.617692187392,9519.19360031059,9319.69498408372,4705.2016821186,13700.7308896787,21212.8238695813,63.3540412450469,148.432628356699,14991.1665796607,347.128257866063,252.665110202981,761.483818130319,12880.2648346179,16979.3728694791,13446.1712954673,473.231991953618,735.670191127908,37931.5912514395,11284.2483908735,14875.4286841606,1680.0340266457,788.536247287375,6434.01054976634,14992.4876275569,6269.083041696,401.647049911761,1469.00284568321,1205.35331217129,1110.85607654161,14075.1666395299,114.638232951246,27316.1276288437,135.679511508206,64.4422550954251,0.64739326747437,31.477335322845,158.087590900096
85569.355750865,111365.038405613,220.506288231599,136.429688291422,6805.62143587332,28090.0461604006,27034.5674089777,249.513426834799,15064.3594837583,1650.74941367271,76250.3134154713,110241.774904914,3948.84649474279,13191.8428893104,68756.6649059243,195.574108170688,155.957138381722,28088.2648332343,209.607969350258,15842.8152431295,8027.27692492566,13.5417171483993,13.5417171483993,54705.6882375721,1440.26866833332,12478.5374528329,30097.9769634752,11533.1868005451,44871.0058462312,170.617692187392,6787.91881233762,23406.6880612023,1055.56153286619,12199.9135181529,18288.4199830974,431.216216216287,296.865256713398,13378.3938938352,173.564128933032,5614.78022673292,44.7931657723717,589.406466187089,544.633598327671,12785.6249740432,204.874825784798,310.456919097154,37743.0852761424,516.372066338759,477.147083888123,1676.15200284712,25692.7989174438,6330.60503328114,13387.5505435895,7.89432777169337,200.82352495588,1303.64435987467,1179.68185376788,335.352777823881,13015.1813559151,151.114034344825,24805.7726122131,194.670603468296,0.942315994319895,0.728053892870484,46.2323362554285,820.07937779425
83666.8715210127,101992.37385673,1543.54401762119,272.859376582844,216.73953617431,21798.78030391,25712.4389298525,20.7927855695666,14619.8159665173,44.5546400451473,70811.1400666855,103503.54193232,5536.96954154152,3328.68765532956,61703.0916225171,97.787054085344,155.957138381722,3401.69297288305,209.607969350258,15529.168348353,7626.08707675479,81.250302890396,81.250302890396,52625.6697617259,1056.19702344444,3148.69983855484,28970.2443979506,11286.6045921279,42377.7647957788,909.961024999425,6178.42793318676,30195.8117484312,86.7584821533853,9329.88891383511,15742.0966288824,870.607147431935,148.432628356699,11438.3334081304,173.564128933032,2245.91209069317,11.1982914430929,617.886190393608,7027.84328483391,11845.9745731442,63.482340384022,31.7629191155504,37081.2198517661,541.322817443363,6157.01076774876,1418.08564805568,4994.74384615967,6010.44564570198,13056.3211657714,29.6037291438502,100.41176247794,914.35288089393,1086.27631262872,607.826909805784,12549.7982662254,901.473377298437,21033.9235936954,932.059252969418,120.677241853225,0.748165878861381,813.492384749774,2203.34579817009
77542.145338663,100830.998191427,220.506288231599,818.578129748532,7976.01493121459,21583.6007760648,23403.6474066041,83.1711422782664,14231.9299563757,3045.30964708582,69972.5355302012,87020.4072401934,25896.4208532045,8223.6878551706,60292.3769658356,5164.93440214408,311.914276763443,4653.74467214588,419.215938700516,13804.1104270822,7244.28558555873,13.5417171483993,13.5417171483993,52204.856775283,96.0179112222215,7779.0190318525,28176.0968470374,10524.4865971611,39943.1882406311,909.961024999425,6022.8238180365,2043.75428827436,887.828467369643,9188.46573844133,15154.8187992196,16.3494299987218,148.432628356699,11250.7345810391,173.564128933032,814.143132876273,5.59914572154646,625.315683664874,340.881123893923,10217.8674428736,282.784970801552,109.633301463351,36704.207901172,547.831709035868,298.641939678196,1111.05285671407,137.891701274347,5996.02853042279,12344.8317456555,911.794857630585,100.41176247794,810.642256230484,1002.5126338007,62.8786458419777,12329.2513740343,823.310945740769,20021.4799097775,619.406465580942,158.065908724628,0.796576612199471,96.3993394262127,820.07937779425
76254.9626998782,94942.4606384502,1102.531441158,2046.44532437133,1040.34977363669,20145.4234797888,19938.8156833245,374.270140252199,14012.9269000879,5114.87267718291,68898.8082264784,83593.6286135443,5894.65491244213,3590.48492969917,59226.5036696763,222.243304739418,311.914276763443,3510.31846277343,419.215938700516,13412.6596514309,6731.23983176401,1083.33737187195,1083.33737187195,46830.4737769985,1008.18806783333,3396.34128794763,28055.5758095004,10490.1838302643,38894.5603870584,1023.70615312435,5641.02202750806,3324.39002255786,8.67584821533853,7833.68944191402,14807.2462061539,5998.19713078106,148.432628356699,10286.1879962093,173.564128933032,168.443406801988,5.59914572154646,2378.67609568361,2926.27363281993,10047.0823275759,470.346431027072,78.8949926418509,35824.5133497858,2083.93012486713,2563.67388065305,1069.67401213383,14423.4719532967,5543.62939580007,12343.7421753338,919.689185402278,100.41176247794,754.11665138777,861.259350942508,419.190972279851,12195.1744087374,46.8974589346007,18094.0470141905,58.9910919600897,19.3326765286275,0.819635512949203,1257.12607945612,810.198903362994
74041.2914584515,89471.2924651909,220.506288231599,136.429688291422,1733.91628939448,17041.73232392,19692.1499222937,187.135070126099,13494.2927966401,15.5941240158016,68843.946247456,75965.7511898015,7454.16312956881,139.079802008854,59069.7575967117,44.4486609478836,155.957138381722,3493.16706963284,1257.64781610155,12899.6403119128,6523.93355334115,148.958888632393,148.958888632393,44936.8153380056,1152.21493466666,131.559519989917,27758.5775384271,10069.6020796173,38348.2472745328,31962.3810031048,5272.64295617789,16113.2044101287,361.493675639106,7486.76973411132,13465.9864504677,83.7908287434492,148.432628356699,7367.72747382806,173.564128933032,4519.89808252,727.88894380104,950.975138722026,18441.2160193847,9152.62020621088,709.847987930427,87.091874994251,32536.1313362706,833.138123840686,16156.1322584922,1021.94276497411,2387.05856206036,5032.07037434206,11496.0564649966,1161.45297341039,100.41176247794,726.576991032631,741.760519923827,209.595486139926,12108.7044818431,1933.21747385965,17606.7746529466,2341.94635081556,34.9568836602542,0.945519075070915,106.236006714602,118.565693175072
72160.024524843,85987.1654692844,220.506288231599,9413.64849210812,7087.38283289993,15377.4341678745,18970.2414616768,62.3783567086998,13012.7039862957,225.000932227994,57189.6944179971,71253.9305781591,5966.19198662225,36.1493329434778,57713.9040655678,50004.7435663691,155.957138381722,5911.51350245558,209.607969350258,12843.718772534,6388.21505451754,3737.51393295822,3737.51393295822,41474.1256209901,288.053733666665,34.1946768783642,25425.6345975328,9897.59110358433,32188.4752675326,682.470768749569,4758.10538691104,6797.89516486106,4523.00886959649,7194.68758411438,13181.608874323,1044.31984116835,148.432628356699,7248.81867881015,173.564128933032,28.0739011336646,16.7974371646394,6884.66376470633,636.483920135901,8098.00550590908,476.117552880165,10.2461029405001,31903.5890636072,6031.57287572163,557.616069531963,1017.44314648032,1689.42869561311,5008.20756284547,11476.4441992047,557.536898875844,78722.8217827051,725.552539772155,722.778103498772,83.8381944559703,10065.488119385,343.914698853739,16987.7582829219,448.332298896682,0.389085313783699,0.953729183664479,628.56303972806,592.828465875362
68701.6052371189,82158.2550727414,220.506288231599,682.14844145711,26572.2671349704,15024.8801392016,17638.2463521104,83.1711422782664,12763.1930415698,494.556504501135,56664.5869044976,67102.2564727958,14121.4184431563,4972.1504867283,56671.5426803532,168.904911601958,155.957138381722,8301.27428004401,24314.5244446299,12558.0326474469,6142.13206214508,27.0834342967987,27.0834342967987,41347.8817250572,11618.1672578888,4703.29783263542,24851.0075078476,8766.59407909016,31909.818914835,2786.75563906074,4741.69984122428,6442.65032076187,23.1355952409028,6983.99591465019,11049.3218378666,451.65300371469,46607.8453040035,7160.50292328714,347.128257866063,28.0739011336646,223.965828861859,12945.8920251807,562.744929388449,7726.53126679836,51.9400966778361,29.7136985274503,31166.3212491121,11341.7435999406,493.014207817894,960.889117960207,1985.64049835059,4852.10500430532,11167.006227822,213.146849835721,200.82352495588,665.77279563146,682.945159825878,83.8381944559703,9724.46627286911,1203.70144598809,16601.5498188249,1138.52807482973,12.0069296050438,0.968532187834963,198.700679225459,553.306568150338
