,degreeID,n,rank
1007,"23.0101,7",4515,118
1454,"30.1701,5",4504,119
2780,"52.0203,5",4451,120
275,"13.0501,7",4434,121
2360,"51.0401,18",4336,122
1416,"30.0,5",4110,123
2190,"50.0409,5",4048,124
1984,"45.0701,5",4010,125
2456,"51.0913,5",3933,126
2805,"52.0213,7",3931,127
492,"14.0201,5",3870,128
1515,"31.0504,7",3846,129
1994,"45.0901,7",3835,130
2273,"50.0903,5",3834,131
887,"19.0101,5",3830,132
1060,"26.0102,5",3807,133
239,"13.0401,17",3804,134
1045,"24.0199,5",3660,135
1616,"4.0201,7",3644,136
2225,"50.0602,5",3563,137
729,"15.1501,7",3514,138
2657,"51.3101,5",3457,139
1058,"26.0101,7",3438,140
223,"13.0101,5",3425,141
356,"13.1205,5",3323,142
1196,"26.0908,5",3317,143
403,"13.1312,5",3305,144
1548,"38.0201,5",3244,145
474,"13.1401,7",3239,146
1851,"43.0107,5",3205,147
2912,"52.1301,5",3186,148
2222,"50.0601,5",3175,149
360,"13.1206,7",3158,150
1503,"31.0101,5",3131,151
371,"13.1299,7",3091,152
2976,"54.0101,7",3091,153
1012,"23.1302,7",3075,154
1902,"44.0,7",3067,155
2396,"51.0702,5",3065,156
254,"13.0406,7",3050,157
2351,"51.0203,7",3031,158
1506,"31.0301,5",2993,159
1325,"27.0501,7",2991,160
1908,"44.0401,5",2985,161
1844,"43.0103,7",2983,162
533,"14.0901,7",2971,163
2785,"52.0205,5",2951,164
2971,"52.9999,5",2943,165
3020,"9.0702,5",2920,166
2804,"52.0213,5",2901,167
368,"13.121,7",2899,168
1301,"27.0101,7",2884,169
1011,"23.1302,5",2857,170
607,"14.3501,7",2842,171
2576,"51.2207,5",2840,172
1847,"43.0104,7",2801,173
1667,"40.0501,17",2794,174
1017,"23.1304,5",2781,175
2632,"51.2401,18",2761,176
1582,"39.0601,7",2752,177
907,"19.0501,5",2725,178
1912,"44.0501,7",2672,179
1966,"45.0601,7",2654,180
2355,"51.0204,7",2647,181
2913,"52.1301,7",2641,182
2473,"51.1005,5",2634,183
2514,"51.1505,7",2630,184
2887,"52.1003,5",2578,185
489,"14.0101,7",2539,186
485,"13.9999,7",2533,187
2241,"50.0703,5",2520,188
1113,"26.0406,5",2516,189
2837,"52.0701,5",2474,190
198,"11.1003,5",2446,191
353,"13.1203,5",2438,192
2176,"50.0401,5",2407,193
1586,"39.0602,7",2387,194
1518,"31.0505,7",2353,195
502,"14.0501,7",2328,196
1669,"40.0501,7",2316,197
2902,"52.1201,7",2254,198
488,"14.0101,5",2245,199
1122,"26.0502,5",2234,200
542,"14.1001,17",2223,201
199,"11.1003,7",2191,202
1460,"30.1901,5",2186,203
1,"1.0,5",2169,204
221,"13.0101,17",2151,205
2338,"51.0001,5",2140,206
1791,"42.2801,7",2138,207
1619,"4.0301,7",2112,208
538,"14.0903,7",2101,209
592,"14.2701,7",2094,210
1501,"30.9999,7",2087,211
747,"16.0102,5",2087,212
1308,"27.0301,5",2077,213
2168,"50.0301,5",2070,214
1419,"30.0101,5",2061,215
3000,"9.0101,7",1996,216
588,"14.2501,5",1984,217
5,"1.0102,5",1978,218
966,"22.0201,7",1937,219
2274,"50.0903,7",1931,220
1042,"24.0103,5",1919,221
2867,"52.0904,5",1918,222
2951,"52.1902,5",1915,223
408,"13.1314,7",1892,224
382,"13.1305,5",1892,225
2267,"50.0901,7",1876,226
2022,"45.9999,5",1865,227
1786,"42.2799,5",1860,228
945,"19.0901,5",1854,229
2923,"52.1401,7",1838,230
1805,"42.2805,7",1829,231
1839,"42.9999,7",1776,232
2343,"51.0201,7",1768,233
817,"16.0901,5",1760,234
1324,"27.0501,5",1749,235
2188,"50.0408,5",1749,236
2528,"51.1901,18",1743,237
3024,"9.09,5",1739,238
2002,"45.1001,7",1723,239
2772,"52.0201,17",1718,240
697,"15.0805,5",1698,241
1715,"40.0801,7",1687,242
1713,"40.0801,17",1684,243
958,"22.0,5",1679,244
1758,"42.0101,17",1671,245
932,"19.0706,5",1658,246
2493,"51.1199,5",1655,247
744,"16.0101,5",1654,248
191,"11.0901,5",1649,249
508,"14.0701,7",1647,250
2789,"52.0206,7",1637,251
3005,"9.0199,5",1620,252
400,"13.1311,7",1615,253
2161,"50.0101,5",1614,254
1181,"26.0901,5",1614,255
399,"13.1311,5",1606,256
684,"15.0701,5",1606,257
1037,"24.0101,7",1597,258
675,"15.0612,5",1580,259
2937,"52.1601,7",1564,260
2713,"51.3808,7",1560,261
1141,"26.0701,5",1558,262
703,"15.1001,5",1556,263
2964,"52.2001,5",1547,264
8,"1.0103,5",1530,265
493,"14.0201,7",1523,266
2385,"51.0602,5",1521,267
2738,"51.3817,7",1515,268
484,"13.9999,5",1504,269
84,"1.1001,5",1503,270
2579,"51.2208,5",1492,271
1770,"42.2704,5",1480,272
1911,"44.0501,5",1476,273
569,"14.1901,17",1470,274
2697,"51.3803,7",1455,275
997,"22.0302,5",1450,276
1410,"3.0601,5",1442,277
3051,"9.9999,5",1442,278
567,"14.1801,5",1437,279
564,"14.1401,5",1430,280
643,"15.0303,5",1429,281
2740,"51.3818,18",1425,282
2757,"51.3899,5",1425,283
2350,"51.0203,5",1422,284
1848,"43.0106,5",1413,285
2510,"51.1504,5",1413,286
2146,"5.0207,5",1410,287
2324,"50.1003,5",1407,288
388,"13.1307,5",1407,289
2899,"52.1101,7",1401,290
1696,"40.0601,7",1399,291
2758,"51.3899,7",1397,292
359,"13.1206,5",1389,293
2888,"52.1003,7",1385,294
471,"13.1399,7",1384,295
1297,"26.9999,5",1384,296
2013,"45.1101,7",1365,297
2905,"52.1206,7",1359,298
2942,"52.1801,5",1358,299
2186,"50.0407,5",1350,300
1252,"26.1302,5",1345,301
2818,"52.0305,5",1334,302
235,"13.0301,17",1330,303
1904,"44.0201,5",1329,304
2594,"51.2299,5",1299,305
2401,"51.0706,5",1299,306
638,"15.0,5",1293,307
2712,"51.3808,5",1292,308
173,"11.0501,5",1290,309
1247,"26.1201,7",1283,310
3009,"9.0401,7",1275,311
1355,"3.0101,5",1268,312
3027,"9.0901,5",1260,313
2916,"52.1304,5",1252,314
1061,"26.0102,7",1245,315
1808,"42.2806,7",1239,316
1005,"23.0101,17",1219,317
1776,"42.2706,5",1215,318
418,"13.1318,5",1207,319
2045,"49.0101,5",1200,320
968,"22.0202,7",1183,321
2397,"51.0702,7",1165,322
636,"14.9999,7",1165,323
1299,"27.0101,17",1155,324
3046,"9.0999,5",1154,325
1271,"26.1309,7",1146,326
2700,"51.3804,7",1144,327
1318,"27.0305,7",1141,328
1359,"3.0103,7",1141,329
1512,"31.0501,7",1139,330
139,"10.0304,5",1134,331
364,"13.1209,5",1130,332
1298,"26.9999,7",1125,333
1874,"43.0199,5",1116,334
2972,"52.9999,7",1115,335
2450,"51.0911,5",1111,336
495,"14.0301,5",1109,337
331,"13.1017,7",1107,338
2920,"52.1399,7",1104,339
1464,"30.2001,7",1101,340
1944,"45.0201,7",1099,341
349,"13.1201,7",1095,342
2801,"52.0211,7",1091,343
2063,"5.0102,5",1090,344
1523,"31.0599,5",1084,345
1801,"42.2804,7",1083,346
1963,"45.0601,17",1056,347
2444,"51.0908,5",1053,348
250,"13.0404,7",1052,349
271,"13.0499,7",1051,350
1477,"30.2501,5",1051,351
1779,"42.2707,5",1040,352
2442,"51.0907,5",1038,353
935,"19.0707,5",1033,354
404,"13.1312,7",1031,355
343,"13.1102,7",1022,356
2181,"50.0404,5",1022,357
500,"14.0501,17",1020,358
2178,"50.0402,5",1020,359
1362,"3.0104,7",1013,360
1567,"39.0201,5",1000,361
163,"11.0201,5",999,362
568,"14.1801,7",993,363
506,"14.0701,17",993,364
3022,"9.0799,5",989,365
1309,"27.0301,7",986,366
2896,"52.1099,7",973,367
515,"14.0801,17",967,368
3010,"9.0402,5",960,369
1056,"26.0101,17",953,370
2015,"45.1201,5",950,371
3003,"9.0102,7",948,372
2894,"52.1005,7",942,373
2931,"52.1499,5",939,374
175,"11.0701,17",933,375
2973,"54.0101,17",933,376
635,"14.9999,5",919,377
2239,"50.0702,7",912,378
1082,"26.021,5",909,379
157,"11.0104,5",907,380
178,"11.0801,5",905,381
3,"1.0101,5",900,382
2939,"52.1701,5",900,383
2202,"50.0501,7",898,384
2227,"50.0605,5",896,385
853,"16.12,5",889,386
376,"13.1302,5",888,387
2047,"49.0102,5",886,388
2830,"52.0501,5",885,389
1788,"42.2801,17",873,390
2884,"52.1002,5",873,391
329,"13.1015,7",871,392
565,"14.1401,7",871,393
2935,"52.1501,7",870,394
613,"14.3701,7",860,395
728,"15.1501,5",842,396
591,"14.2701,5",839,397
1483,"30.2701,5",833,398
1971,"45.0603,5",832,399
2195,"50.0411,5",832,400
1890,"43.0302,5",832,401
2611,"51.2308,17",829,402
2630,"51.2399,5",828,403
2607,"51.2306,5",827,404
192,"11.0901,7",820,405
2484,"51.1102,5",817,406
1887,"43.0301,5",817,407
1789,"42.2801,18",813,408
792,"16.0501,5",813,409
1899,"43.9999,7",810,410
174,"11.0501,7",810,411
2620,"51.231,7",802,412
1287,"26.1503,5",797,413
383,"13.1305,7",794,414
994,"22.0299,7",794,415
2000,"45.1001,17",789,416
2817,"52.0304,7",787,417
989,"22.0211,7",787,418
2627,"51.2314,5",783,419
1246,"26.1201,5",782,420
1824,"42.2812,5",782,421
2781,"52.0203,7",778,422
1618,"4.0301,5",776,423
2552,"51.201,5",775,424
910,"19.0504,5",774,425
537,"14.0903,5",773,426
2236,"50.0701,7",772,427
1069,"26.0204,5",772,428
3014,"9.0499,5",772,429
2885,"52.1002,7",766,430
2615,"51.2309,5",761,431
1879,"43.0202,5",761,432
1626,"4.0601,5",759,433
1249,"26.1301,5",756,434
827,"16.0905,7",751,435
354,"13.1203,7",751,436
2786,"52.0205,7",748,437
2210,"50.0506,5",748,438
897,"19.0401,5",747,439
3052,"9.9999,7",745,440
1985,"45.0701,7",740,441
2066,"5.0103,5",739,442
1457,"30.1801,5",737,443
1449,"30.1501,5",732,444
1831,"42.2814,7",731,445
1535,"38.0101,7",726,446
1461,"30.1901,7",721,447
2531,"51.2001,5",721,448
2508,"51.1503,7",721,449
2577,"51.2207,7",721,450
414,"13.1316,7",720,451
2741,"51.3818,5",719,452
2997,"9.01,7",718,453
2893,"52.1005,5",717,454
748,"16.0102,7",716,455
753,"16.0104,5",713,456
2595,"51.2299,7",712,457
2158,"5.0299,5",710,458
1825,"42.2812,7",709,459
131,"10.0203,5",707,460
2163,"50.0102,5",705,461
2526,"51.1701,18",702,462
2009,"45.1099,5",701,463
912,"19.0505,5",696,464
1960,"45.0401,7",693,465
2589,"51.2211,7",693,466
2048,"49.0104,5",692,467
1574,"39.0401,5",691,468
1014,"23.1303,5",691,469
2129,"5.0199,5",690,470
96,"1.1102,5",690,471
2838,"52.0701,7",689,472
2934,"52.1501,5",685,473
1627,"4.0601,7",681,474
1581,"39.0601,5",676,475
566,"14.1801,17",669,476
2226,"50.0602,7",668,477
2767,"51.9999,7",662,478
377,"13.1302,7",660,479
498,"14.0401,5",659,480
1827,"42.2813,5",655,481
2135,"5.0201,5",653,482
1367,"3.0201,5",652,483
1898,"43.9999,5",648,484
147,"11.0101,17",648,485
2816,"52.0304,5",642,486
2011,"45.1101,17",642,487
2242,"50.0703,7",636,488
1182,"26.0901,7",636,489
3006,"9.0199,7",634,490
2415,"51.0799,5",634,491
2588,"51.2211,5",628,492
1033,"23.9999,5",620,493
908,"19.0501,7",612,494
2864,"52.0903,5",611,495
1767,"42.2703,5",611,496
260,"13.0408,7",610,497
3030,"9.0902,7",610,498
2023,"45.9999,7",608,499
2277,"50.0904,5",607,500
771,"16.0302,5",605,501
373,"13.1301,5",601,502
2322,"50.1002,5",601,503
338,"13.1099,7",599,504
1008,"23.1301,5",598,505
424,"13.132,5",597,506
2320,"50.1001,7",595,507
2457,"51.0913,7",594,508
1004,"22.9999,7",592,509
183,"11.0803,5",591,510
1423,"30.0501,7",591,511
2198,"50.0499,5",589,512
677,"15.0613,5",588,513
207,"11.1099,7",586,514
1849,"43.0106,7",583,515
1891,"43.0302,7",583,516
1621,"4.0401,5",582,517
2739,"51.3818,17",581,518
558,"14.1201,5",578,519
2654,"51.2706,7",578,520
2317,"50.0999,5",576,521
1938,"45.0101,7",575,522
1235,"26.1102,7",568,523
1942,"45.0201,17",567,524
99,"1.1103,5",565,525
2777,"52.0202,5",562,526
2203,"50.0502,5",547,527
2232,"50.0699,5",543,528
685,"15.0701,7",542,529
2264,"50.0901,17",541,530
328,"13.1015,5",539,531
1797,"42.2803,5",539,532
924,"19.0701,7",538,533
1711,"40.0699,5",537,534
247,"13.0403,7",536,535
1888,"43.0301,7",533,536
1388,"3.0501,5",532,537
2262,"50.0799,5",532,538
1368,"3.0201,7",526,539
985,"22.0209,7",519,540
444,"13.1328,5",518,541
2687,"51.3801,18",518,542
589,"14.2501,7",514,543
888,"19.0101,7",514,544
3015,"9.0499,7",512,545
2524,"51.1599,5",508,546
582,"14.2301,5",508,547
2873,"52.0907,5",501,548
1656,"40.0401,5",501,549
1043,"24.0103,7",501,550
561,"14.1301,5",499,551
929,"19.0704,5",498,552
1280,"26.1501,17",494,553
3021,"9.0702,7",493,554
2567,"51.2202,7",492,555
741,"15.9999,5",490,556
2915,"52.1302,7",488,557
2214,"50.0509,5",486,558
1694,"40.0601,17",485,559
2782,"52.0204,5",482,560
768,"16.0301,5",482,561
1795,"42.2803,17",481,562
2453,"51.0912,5",480,563
1447,"30.1401,7",477,564
2863,"52.0901,7",474,565
710,"15.1201,5",474,566
1840,"43.0102,5",473,567
389,"13.1307,7",473,568
251,"13.0406,17",466,569
942,"19.0799,5",465,570
600,"14.3301,5",465,571
2336,"51.0,7",461,572
413,"13.1316,5",461,573
419,"13.1318,7",459,574
1988,"45.0702,7",458,575
1692,"40.0599,5",457,576
2501,"51.1501,5",457,577
2778,"52.0202,7",455,578
2878,"52.0999,5",455,579
1838,"42.9999,5",453,580
1861,"43.0112,5",453,581
2586,"51.221,7",452,582
2943,"52.1801,7",452,583
1997,"45.0902,7",451,584
2561,"51.2201,17",451,585
1793,"42.2802,5",449,586
2323,"50.1002,7",446,587
9,"1.0103,7",444,588
2658,"51.3101,7",444,589
1062,"26.0202,17",442,590
2917,"52.1304,7",442,591
1154,"26.0709,5",441,592
1496,"30.3301,5",441,593
2800,"52.0211,5",441,594
1507,"31.0301,7",439,595
415,"13.1317,5",439,596
1599,"39.0702,5",437,597
1104,"26.0401,5",437,598
265,"13.041,7",435,599
2919,"52.1399,5",434,600
93,"1.1101,5",433,601
1422,"30.0501,5",431,602
2710,"51.3808,17",430,603
2141,"5.0203,5",430,604
294,"13.0901,7",430,605
2017,"45.1301,5",429,606
1623,"4.0501,5",428,607
2847,"52.0803,5",427,608
1533,"38.0101,17",425,609
1435,"30.1101,7",424,610
1420,"30.0101,7",423,611
2331,"50.9999,5",422,612
1356,"3.0101,7",422,613
2499,"51.1401,7",419,614
2319,"50.1001,5",417,615
482,"13.9999,17",417,616
85,"1.1001,7",416,617
330,"13.1017,5",414,618
1881,"43.0203,5",412,619
2696,"51.3803,5",412,620
66,"1.0901,7",411,621
733,"15.1503,5",410,622
2055,"49.0309,5",410,623
1112,"26.0406,17",408,624
2619,"51.231,5",405,625
1549,"38.0201,7",402,626
486,"14.0101,17",400,627
609,"14.3601,5",400,628
1975,"45.0604,7",399,629
2192,"50.041,5",397,630
904,"19.0499,5",397,631
612,"14.3701,5",397,632
203,"11.1005,5",396,633
1598,"39.0701,7",395,634
1968,"45.0602,5",395,635
1273,"26.131,5",391,636
639,"15.0,7",390,637
1875,"43.0199,7",390,638
2271,"50.0903,17",389,639
878,"16.1603,5",389,640
2345,"51.0202,18",387,641
60,"1.0802,5",387,642
642,"15.0201,5",385,643
1981,"45.0699,5",384,644
1323,"27.0501,17",383,645
2788,"52.0206,5",383,646
1634,"4.0902,7",382,647
1126,"26.0503,5",382,648
2664,"51.3199,5",381,649
2869,"52.0905,5",380,650
2447,"51.091,5",379,651
937,"19.0708,5",378,652
2613,"51.2308,5",378,653
129,"10.0202,5",376,654
1806,"42.2806,17",372,655
2728,"51.3813,7",371,656
335,"13.1019,7",371,657
1072,"26.0205,5",370,658
339,"13.1101,17",370,659
1107,"26.0403,5",370,660
2465,"51.0999,5",369,661
2948,"52.1804,5",368,662
165,"11.0202,5",366,663
2076,"5.0107,5",366,664
2566,"51.2202,5",365,665
1859,"43.0111,5",363,666
2481,"51.1099,5",361,667
1497,"30.3301,7",361,668
181,"11.0802,7",360,669
1925,"44.0701,17",360,670
1434,"30.1101,5",359,671
160,"11.0199,5",358,672
562,"14.1301,7",354,673
2599,"51.2301,7",354,674
531,"14.0901,17",354,675
2432,"51.0899,5",353,676
193,"11.1001,5",353,677
2993,"54.0199,5",352,678
2502,"51.1501,7",352,679
2606,"51.2306,18",352,680
2402,"51.0706,7",352,681
473,"13.1401,5",351,682
579,"14.2201,5",351,683
2422,"51.0808,5",350,684
2819,"52.0305,7",349,685
430,"13.1322,5",348,686
1575,"39.0401,7",347,687
1747,"40.9999,5",346,688
1551,"38.0203,5",345,689
959,"22.0,7",344,690
491,"14.0201,17",344,691
16,"1.0201,5",344,692
2016,"45.1201,7",342,693
2850,"52.0804,5",341,694
2069,"5.0104,5",341,695
2895,"52.1099,5",340,696
1756,"41.9999,5",337,697
158,"11.0104,7",336,698
204,"11.1005,7",336,699
134,"10.0301,5",334,700
1987,"45.0702,5",334,701
1905,"44.0201,7",334,702
972,"22.0203,7",334,703
1385,"3.0301,5",333,704
1972,"45.0603,7",331,705
1425,"30.0601,5",328,706
1612,"39.9999,7",326,707
2487,"51.1104,5",326,708
2246,"50.0706,5",324,709
2603,"51.2305,5",324,710
583,"14.2301,7",322,711
1969,"45.0602,7",322,712
337,"13.1099,5",321,713
206,"11.1099,5",319,714
227,"13.0201,7",319,715
346,"13.1199,7",318,716
2871,"52.0906,5",317,717
2946,"52.1803,5",316,718
605,"14.3501,17",315,719
2716,"51.3809,7",315,720
610,"14.3601,7",314,721
1197,"26.0908,7",312,722
1059,"26.0102,17",311,723
1305,"27.0199,5",311,724
41,"1.0507,5",310,725
676,"15.0612,7",310,726
2332,"50.9999,7",310,727
1768,"42.2703,7",309,728
695,"15.0803,5",309,729
576,"14.2101,5",309,730
496,"14.0301,7",307,731
291,"13.0701,7",307,732
818,"16.0901,7",306,733
2,"1.0,7",306,734
268,"13.0411,7",306,735
431,"13.1322,7",305,736
1641,"40.0101,5",304,737
783,"16.0402,5",304,738
1934,"44.9999,5",304,739
1015,"23.1303,7",304,740
1003,"22.9999,5",302,741
2534,"51.2002,7",300,742
1064,"26.0202,7",300,743
1611,"39.9999,5",299,744
1160,"26.0801,5",298,745
2363,"51.0501,7",298,746
2752,"51.3821,7",298,747
449,"13.133,5",298,748
395,"13.1309,7",296,749
2223,"50.0601,7",295,750
269,"13.0499,17",294,751
1935,"44.9999,7",294,752
911,"19.0504,7",293,753
1428,"30.0801,5",291,754
1022,"23.1401,5",291,755
1893,"43.0303,7",291,756
320,"13.1011,7",290,757
2558,"51.2099,5",289,758
1238,"26.1103,7",288,759
209,"11.9999,5",288,760
1484,"30.2801,7",288,761
2248,"50.0708,5",286,762
311,"13.1007,7",286,763
210,"11.9999,7",285,764
186,"11.0804,5",285,765
632,"14.4501,5",284,766
2292,"50.0908,5",282,767
2295,"50.091,5",282,768
1498,"30.9999,17",282,769
1867,"43.0116,7",281,770
262,"13.0409,7",280,771
2834,"52.0601,7",278,772
2998,"9.0101,17",277,773
2439,"51.0905,5",275,774
2965,"52.2001,7",275,775
1597,"39.0701,5",275,776
2240,"50.0703,17",273,777
594,"14.2801,5",271,778
1046,"24.0199,7",271,779
2206,"50.0504,7",270,780
2851,"52.0804,7",270,781
960,"22.0001,5",270,782
2731,"51.3814,7",269,783
2631,"51.2399,7",269,784
1802,"42.2805,17",269,785
1253,"26.1302,7",269,786
640,"15.0101,5",265,787
322,"13.1012,7",263,788
973,"22.0205,7",263,789
1579,"39.0601,17",263,790
394,"13.1309,5",261,791
1570,"39.0301,5",261,792
391,"13.1308,5",260,793
2410,"51.0718,5",260,794
1636,"4.1001,7",259,795
1260,"26.1305,5",258,796
2960,"52.191,5",256,797
2559,"51.2099,7",255,798
1336,"27.9999,5",254,799
1983,"45.0701,17",254,800
618,"14.3901,5",253,801
2686,"51.3801,17",251,802
2802,"52.0212,5",251,803
2904,"52.1206,5",251,804
2416,"51.0799,7",250,805
2768,"52.0101,17",250,806
1577,"39.0501,5",250,807
2692,"51.3802,5",250,808
2669,"51.3201,7",249,809
951,"19.0905,5",248,810
1736,"40.0899,5",248,811
986,"22.021,7",247,812
1382,"3.0299,5",246,813
2742,"51.3818,7",245,814
2720,"51.381,7",244,815
1771,"42.2704,7",244,816
1644,"40.0201,5",243,817
1978,"45.0605,5",243,818
2803,"52.0213,17",243,819
1740,"40.1001,7",242,820
123,"1.9999,5",242,821
2346,"51.0202,5",242,822
1800,"42.2804,5",241,823
303,"13.1004,7",241,824
2205,"50.0504,5",241,825
699,"15.0899,5",240,826
2748,"51.382,7",240,827
2822,"52.0399,7",240,828
1426,"30.0601,7",239,829
365,"13.1209,7",239,830
425,"13.132,7",239,831
215,"12.0503,5",238,832
745,"16.0101,7",237,833
681,"15.0699,5",237,834
936,"19.0707,7",237,835
2243,"50.0705,5",237,836
2504,"51.1502,5",237,837
200,"11.1004,5",236,838
319,"13.1011,5",234,839
1547,"38.0201,17",234,840
746,"16.0102,17",234,841
1708,"40.0607,5",233,842
115,"1.1201,5",232,843
2760,"51.3902,5",232,844
1906,"44.0401,17",231,845
1594,"39.0699,7",231,846
2164,"50.0102,7",231,847
1828,"42.2813,7",230,848
1269,"26.1309,17",229,849
2724,"51.3811,7",226,850
2177,"50.0401,7",225,851
2293,"50.0908,7",225,852
521,"14.0803,7",223,853
179,"11.0801,7",223,854
1862,"43.0112,7",222,855
550,"14.1004,7",222,856
374,"13.1301,7",222,857
2169,"50.0301,7",221,858
2278,"50.0904,7",221,859
1835,"42.2899,7",221,860
1876,"43.0201,5",221,861
3028,"9.0901,7",220,862
1307,"27.0301,17",218,863
1794,"42.2802,7",218,864
601,"14.3301,7",218,865
272,"13.0501,17",217,866
2006,"45.1004,5",217,867
1491,"30.3101,7",216,868
1142,"26.0701,7",215,869
1974,"45.0604,5",215,870
553,"14.1099,7",214,871
1910,"44.0501,17",214,872
2070,"5.0104,7",214,873
2691,"51.3802,18",214,874
2507,"51.1503,5",214,875
2064,"5.0102,7",214,876
2560,"51.2101,18",213,877
1210,"26.1001,17",213,878
1593,"39.0699,5",213,879
1086,"26.0299,5",212,880
3025,"9.09,7",212,881
1123,"26.0502,7",212,882
2795,"52.0209,5",211,883
1089,"26.0301,5",211,884
1327,"27.0502,5",210,885
2492,"51.1109,5",210,886
981,"22.0208,7",210,887
2932,"52.1499,7",210,888
666,"15.0507,5",209,889
1027,"23.1404,5",208,890
2675,"51.3306,5",208,891
2437,"51.0904,5",208,892
284,"13.0607,5",207,893
1360,"3.0104,17",207,894
520,"14.0803,5",207,895
1520,"31.0508,5",207,896
1866,"43.0116,5",206,897
2511,"51.1504,7",206,898
240,"13.0401,18",206,899
295,"13.1001,17",205,900
2580,"51.2208,7",205,901
237,"13.0301,5",205,902
1317,"27.0305,5",205,903
2598,"51.2301,5",205,904
97,"1.1102,7",204,905
825,"16.0905,17",203,906
1739,"40.1001,5",202,907
324,"13.1013,7",202,908
2199,"50.0499,7",202,909
2914,"52.1302,5",201,910
1114,"26.0406,7",201,911
2855,"52.0807,7",200,912
1545,"38.0199,5",200,913
1657,"40.0401,7",200,914
2305,"50.0913,5",200,915
3049,"9.1001,7",200,916
3033,"9.0903,7",198,917
1990,"45.0799,5",197,918
1391,"3.0502,5",196,919
1568,"39.0201,7",195,920
1956,"45.0301,5",195,921
470,"13.1399,5",195,922
2318,"50.0999,7",195,923
2424,"51.0809,7",194,924
2653,"51.2706,5",192,925
882,"16.9999,5",192,926
1248,"26.1301,17",192,927
1516,"31.0505,17",192,928
2077,"5.0107,7",192,929
1338,"29.0201,5",191,930
459,"13.1334,7",191,931
820,"16.0902,5",191,932
585,"14.2401,5",190,933
1564,"38.9999,5",190,934
854,"16.12,7",190,935
2636,"51.2501,7",189,936
1932,"44.0799,7",189,937
2004,"45.1002,7",188,938
751,"16.0103,7",188,939
2339,"51.0001,7",188,940
468,"13.1338,7",188,941
1321,"27.0399,5",187,942
1662,"40.0404,5",186,943
321,"13.1012,5",186,944
2391,"51.0701,17",185,945
2433,"51.0899,7",185,946
1237,"26.1103,5",185,947
1790,"42.2801,5",184,948
1701,"40.0603,5",184,949
2079,"5.0108,5",183,950
1068,"26.0204,17",183,951
2189,"50.0408,7",181,952
2138,"5.0202,5",181,953
450,"13.133,7",181,954
2823,"52.0401,5",181,955
386,"13.1306,7",180,956
2525,"51.1599,7",179,957
2958,"52.1909,5",178,958
688,"15.0703,5",178,959
725,"15.1401,5",178,960
2285,"50.0906,7",177,961
1034,"23.9999,7",177,962
3047,"9.0999,7",176,963
917,"19.0601,5",176,964
2661,"51.3102,7",175,965
1413,"3.9999,5",175,966
2813,"52.0302,5",175,967
2263,"50.0799,7",174,968
2219,"50.0599,5",174,969
2886,"52.1003,17",174,970
2573,"51.2206,5",174,971
145,"10.9999,5",174,972
362,"13.1207,7",174,973
2928,"52.1403,5",173,974
1233,"26.1102,17",173,975
1070,"26.0204,7",173,976
1121,"26.0502,17",172,977
1250,"26.1301,7",172,978
2706,"51.3806,7",171,979
1647,"40.0202,5",171,980
34,"1.0308,5",171,981
1265,"26.1307,5",171,982
1163,"26.0802,5",171,983
2147,"5.0207,7",170,984
2660,"51.3102,5",170,985
759,"16.0199,5",170,986
1480,"30.2601,5",170,987
2591,"51.2212,5",170,988
1631,"4.0901,5",169,989
3018,"9.0701,7",168,990
1585,"39.0602,5",168,991
1311,"27.0303,5",167,992
1108,"26.0403,7",167,993
499,"14.0401,7",167,994
10,"1.0104,5",167,995
893,"19.0203,5",166,996
1488,"30.3001,7",165,997
161,"11.0199,7",165,998
1431,"30.1001,5",165,999
195,"11.1002,5",164,1000
898,"19.0401,7",164,1001
2482,"51.1099,7",164,1002
1979,"45.0605,7",163,1003
648,"15.0399,5",162,1004
661,"15.0503,7",162,1005
1018,"23.1304,7",162,1006
2080,"5.0108,7",162,1007
1504,"31.0101,7",162,1008
627,"14.4201,7",161,1009
1738,"40.1001,17",161,1010
2474,"51.1005,7",161,1011
1145,"26.0702,7",160,1012
306,"13.1005,7",160,1013
2910,"52.1299,7",160,1014
378,"13.1303,5",159,1015
1438,"30.1201,7",159,1016
510,"14.0702,5",159,1017
169,"11.0401,17",159,1018
1609,"39.0799,7",159,1019
619,"14.3901,7",159,1020
1474,"30.2301,5",158,1021
308,"13.1006,5",158,1022
83,"1.1001,17",157,1023
634,"14.9999,17",156,1024
1552,"38.0203,7",156,1025
2050,"49.0105,5",156,1026
841,"16.1101,5",155,1027
1709,"40.0607,7",155,1028
2326,"50.1004,5",155,1029
22,"1.0302,5",154,1030
2610,"51.2307,7",154,1031
754,"16.0104,7",153,1032
752,"16.0104,17",153,1033
3041,"9.0907,5",153,1034
1283,"26.1501,7",152,1035
1638,"4.9999,5",152,1036
706,"15.1102,5",152,1037
1159,"26.0801,17",152,1038
927,"19.0702,7",152,1039
1295,"26.9999,17",152,1040
1201,"26.091,17",152,1041
890,"19.0201,5",152,1042
1799,"42.2804,17",152,1043
2940,"52.1701,7",152,1044
2628,"51.2314,7",151,1045
573,"14.2001,5",151,1046
421,"13.1319,5",151,1047
1712,"40.0699,7",151,1048
188,"11.0899,5",151,1049
410,"13.1315,5",151,1050
2792,"52.0208,5",150,1051
