,N,D
0,14948.973653470644,47.341731490485316
1,6744.195235128141,50.444944834954654
2,5711.363842418726,41.78036798371578
3,4850.963277514581,44.900496765163446
4,4212.522799732805,57.31587503784662
5,3719.5107080867288,45.89952955602144
6,3430.6016138700797,57.38671582364595
7,3212.1755942297123,40.878092074061
8,2943.8772947565776,63.9723980387356
9,2787.2963335362874,27.61489778213593
10,2606.8304660755894,38.9883914122656
11,2413.884390645375,29.5062576269155
12,2172.6549479649593,52.32718477681479
13,2051.87882780403,52.71361351066567
14,1944.5779399997168,57.22102612538521
15,1865.71963975525,29.847343167180142
16,1793.8071966210734,52.33025989003136
17,1718.6637323768673,33.3721224060248
18,1651.6870490430906,38.88533308949409
19,1599.9609490501928,37.75151916667613
20,1566.5866463338446,48.89017951047678
21,1524.888625615928,38.427943660395556
22,1486.5918561698575,28.190963393237535
23,1452.1477013364736,25.508064856843518
24,1418.7851930959118,30.06351713484629
25,1395.7178825815708,31.494779295374183
26,1350.768663963757,47.11773578052192
27,1326.794524678907,30.06351713484629
28,1316.3985406518839,23.41109359039957
29,1289.2470844456175,16.948790237329373
30,1225.708737147262,44.50889442206756
31,1207.595590521396,37.610848510205955
32,1183.1659654351226,32.3829132755936
33,1159.7906402770209,25.720346609835644
34,1139.1810284509147,32.579589926297444
35,1110.157652027849,33.71233670064784
36,1072.7933871323105,39.62008131054453
37,1059.1906771821823,24.395108189338693
38,1040.7928003260345,24.89559235800244
39,1026.7711115520558,39.86268546677723
40,993.1948832025746,24.873624133583032
41,983.3915194061657,26.414405757367142
42,957.1903283748413,43.8596324973493
43,944.7884642805562,34.1694299677096
44,913.9035383919354,32.72454598323096
45,891.9921448729666,14.260123266632037
46,882.5989573983636,21.240678154010606
47,872.7896148413081,31.52463479962092
48,857.9750462855022,27.425282976615772
49,844.7906524129479,31.717088251677982
50,826.1670728343331,35.75023407880579
51,802.979893000011,28.878931012370813
52,784.9931254921128,49.964361873154196
53,776.1975781218432,32.6569013806515
54,767.3922926717651,40.49271133775708
55,760.9968455503389,38.5868685278856
56,751.9922871228601,32.13892220782853
57,737.1909704604227,21.536553761119023
58,723.7883486909291,26.215778658238644
59,713.7990469739316,24.112496556336705
60,703.9829862262907,39.85649311699576
61,693.3853792380581,24.933458948623166
62,680.5915844854816,23.71693509498168
63,666.187630115772,35.5537877325585
64,655.1950076766956,20.18347757313417
65,645.1881323736653,29.88050969938037
66,634.1666793135345,19.559497171883756
67,621.9945150384724,24.700826220601645
68,613.3962142008685,26.09620731136096
69,605.7922849802466,13.107360849122077
70,597.1918343055331,21.249996378394624
71,589.7964651930122,36.80238359849078
72,584.7991784086516,29.92560527551551
73,580.7977927149412,46.22279763363111
74,573.1984638756204,24.705852922867773
75,567.1980997244669,18.66748049268886
76,561.1909644442161,22.12418263943345
77,553.5954436975491,18.786382973316815
78,548.799489954652,36.38966286565007
79,543.393889760526,18.958860297598616
80,537.7979875415102,21.565481405738833
81,530.5907266453772,30.790555622121325
82,521.1986960216113,33.34359014459348
83,516.7971426588184,27.63860396846365
84,510.9953017490832,22.343878591090604
85,506.3989735150866,23.353090091134696
86,503.59657374535465,22.381139943346717
87,496.19701027469955,24.16121649616258
88,490.196973592832,33.91054935067118
89,481.58606719691846,22.091550959537486
90,474.196454468419,25.131190597848022
91,468.9957355475743,25.249990149463304
92,464.7972407691375,17.166883137226343
93,459.99869375439613,29.81902978306004
94,456.19894913145026,26.29956440903212
95,453.59885314472047,39.86847777819107
96,449.58989818095137,37.48178141748266
97,442.59972879304325,32.671164016518425
98,439.7980005638502,17.935432357189196
99,435.19705855181377,28.759104218164126
100,430.3974021489058,31.898924038669715
101,425.59502524241213,11.618122876096391
102,422.0000000000001,29.68470098488088
103,418.79837521147897,29.670147275814497
104,415.5987482356295,30.975526426772127
105,410.59580897213556,31.952152046503112
106,406.7993119895696,35.26461968110296
107,402.79831062590654,34.558601708535356
108,398.99949874560775,37.34588968005055
109,395.1982805731211,32.16752089835218
110,392.998982186318,32.36441976883232
111,389.7997945556458,32.620451837132244
112,386.59968949443686,28.954287521559586
113,385.3991687215139,28.478116697048566
114,380.9994750641705,32.19013506554935
115,376.59596315442656,19.34417700811625
116,372.59752958451475,21.513495299487992
117,368.19488300987496,28.459629095470792
118,363.5996698457725,23.063180155869752
119,361.79977863852594,20.05082106480464
120,359.99944444272967,19.504622995664835
121,357.799776161059,23.906762947764022
122,356.1997756588956,25.200718970466053
123,353.59513299170703,19.737182889437644
124,350.59965759921766,25.10956546259806
125,346.1963022783809,23.194194376662324
126,341.5996485745877,22.02412060446503
127,339.99882352635854,17.625476332235888
128,337.79917152507994,16.940930229200212
129,336.59964335229057,22.554591330200022
130,334.59964121965294,17.215132045647703
131,332.59963906135687,24.67552593656261
132,329.79915143897364,23.163174349513465
133,327.39841261316974,29.35023447279514
134,325.59963129843146,36.2926317470197
135,324.3990121903921,24.480380746096582
136,321.7997510888413,16.520958459648988
137,319.3996244520975,21.163611418456455
138,317.79911941470954,27.13483956909713
139,316.39962089277196,25.278781547149748
140,314.59961840128625,24.695537323060275
141,311.19653399797613,36.25053518251306
142,307.99870129459447,23.636491979088188
143,305.59895441583575,21.984840128271042
144,303.3989437166043,27.59854157532786
145,301.39893669689707,24.64838237951803
146,299.1990636309838,21.297609853019978
147,297.59959659317235,19.280408613063678
148,296.79973009428267,19.697406185556073
149,294.79837324433197,23.654303975180504
150,292.99863480751605,23.649150157280605
151,290.3982104886968,27.582252932748037
152,288.5995840070845,26.81901617543019
153,287.19972183568154,24.16139490730661
154,286.1997208651136,16.51066877778075
155,285.5995796353633,22.3490757825484
156,283.79901398105966,37.08265826151473
157,281.3995737623931,31.716322193945754
158,279.1989965140501,18.69815817735378
159,276.79826755934823,30.746225940655048
160,275.3995644806497,15.963899965571823
161,273.9992700691036,29.077368738449
162,271.59955795640485,15.457424560713678
163,270.1989630677436,25.167905422968236
164,268.5995530167484,35.36571667353125
165,266.7989511935145,26.470717302265182
166,265.5995479654472,30.796465139981404
167,262.9977243747365,18.34533998115724
168,261.99999999999994,18.863152866988923
169,260.79969278006615,30.159364512042984
170,259.7996915957158,24.709472192235676
171,258.9999999999999,14.510005819892386
172,258.1996906416404,21.53052617725796
173,256.1989063662528,32.90648162172058
174,254.99999999999991,28.622242988051344
175,254.19968578132728,27.3667950239605
176,252.1988890087664,26.68577485526983
177,250.19968076585596,26.23096379354685
178,249.3995191018437,28.107296140129876
179,246.99919027809204,22.620056252407938
180,245.99999999999991,21.82158485505895
181,244.59950913502223,30.672377463507015
182,243.1996715924428,21.64590658672355
183,241.79966859949326,25.898186866434553
184,240.59950096979858,19.93516854855442
185,239.00000000000009,26.74028325456361
186,236.59949252833303,26.61781616743085
187,235.3994905174019,28.529381783867677
188,233.99829058892502,27.12348607576161
189,232.3994839443601,21.331685161254228
190,231.59948156621826,19.61420020861495
191,230.39947946729106,21.538873698022684
192,229.5994770476099,32.542021790558046
193,227.9982456039105,18.816345458917574
194,226.39947027599078,17.10419028705878
195,225.19964538965274,11.853406313231892
196,223.79964189751067,25.722539868724006
197,223.00000000000003,22.81557508972824
198,221.59675216301082,21.709525966503694
199,219.39945338526445,16.88579273061796
200,218.79963369917303,16.345764562896527
201,217.5994481905678,17.483599375633275
202,216.00000000000006,22.21069234756297
203,214.59944047173298,18.625662955880642
204,213.5994378505752,18.116453224503623
205,212.39943538190704,25.725143392453855
206,211.99999999999997,18.487757483354894
207,211.1996219276596,24.576538574464063
208,211.00000000000003,22.834721238495252
209,211.00000000000003,13.706935018795296
210,209.99999999999994,27.433309051207363
211,209.39942729794728,19.60433941701999
212,208.1996164903627,23.922152870798776
213,207.39942177879826,23.76933917473371
214,206.19961277777097,21.30458683150109
215,205.5994159627994,32.323876574646974
216,204.39941329769303,17.790229060619463
217,203.79960668576203,27.493129550626445
218,202.99999999999997,19.167523328971715
219,202.19960513269018,17.679819580666344
220,201.1996031740172,21.518581309967544
221,201.0,15.589558525827666
222,200.39940159481856,25.426335358565275
223,199.19959919779296,27.878403631646037
224,198.19959717964875,24.035237088741326
225,197.39939250662482,24.382898419361517
226,195.79959058277552,21.232926040869398
227,194.79958847671324,18.62672141261055
228,194.00000000000003,15.417841381713274
229,193.59937973708057,14.894831888720802
