theta,gamma,fitness
0.7386489644575163,0.8355551485853137,22.08665535866492
0.6977073022427995,0.8376280972592941,26.090983244192994
0.7130764022726075,0.8339569382897832,24.349488316668108
0.7023298052702456,0.8337268109769782,20.847285317895068
0.6805887355342269,0.8296961680211085,25.748037521517293
0.6656149546168588,0.7434411967987972,21.034885034453126
0.7878734548034079,0.8944712426582815,23.654756938712517
0.8542697478946812,0.9476153862430228,10.740739782215297
0.8492714394367006,0.9619168365561964,12.201293023811152
0.6965107236146771,0.7900676137850399,23.932331001863243
0.7679227314865289,0.8626803807913113,26.152941017645066
0.6723883667395893,0.8314715399806638,21.460139747926284
0.7342313007271076,0.7449429115041015,16.86722144463618
1.1958127086400747,0.8818510563305896,7.579707153446637
0.6857568142721479,0.6573058716599973,28.13321609831247
0.6812871857811029,0.725902471932348,24.51376301974549
0.637896622352906,0.7047015167428522,20.907870514765968
0.6951492487578889,0.7423050654606956,29.29939704942828
1.198318320020733,0.07342912714404888,40.51337136824899
0.5976190374884036,0.7353594868641116,19.699873094222124
