theta,gamma,fitness
,,
0.7023818771106881,0.8678965895377219,20.796960454771966
0.7094228117526762,0.829302591963037,22.085187433550654
0.6488843115732184,0.4870341072879998,16.64032520223131
0.728004061522606,0.838663454770222,22.454731992108275
0.6805961242165248,0.7141194835972217,25.025634905064244
0.664665717086221,0.7067802757613184,23.88351289988207
0.7355527518983209,0.774722154905241,25.618124319060495
0.6808294182603424,0.7741886102467309,16.623914366634597
0.7163269199596203,0.8142919954416918,23.48234627214635
0.6211670950654798,0.7928315744212253,21.580237900594124
0.6900074037992743,0.8388429745180437,22.27967601585995
0.7494610104561534,0.8681551015864953,27.274835754233766
0.7394113986439735,0.7299679655945412,20.34749646431129
0.729528290271393,0.7129718431913039,16.03609906575703
0.6801517248716619,0.8238169929204344,23.562301033491895
0.6971053349942947,0.8218230377101069,27.30802012378407
0.5261826497066522,0.6120334451891649,29.07081972356868
0.657874886798726,0.7615208483611988,14.378189139658328
0.5685867506807365,0.5528364571380128,18.06995347860295
