AGY,OCC,EMPLOYMENT
HS,17,1
HS,18,148
HS,19,1
HS,20,24
HS,28,346
HS,29,5
HS,30,1
HS,60,1
HS,62,3
HS,72,29
HS,80,1749
HS,81,93
HS,83,1636
HS,86,1078
HS,89,3771
HS,99,6
HS,101,143
HS,110,96
HS,130,6
HS,131,37
HS,132,2027
HS,134,4
HS,160,4
HS,170,10
HS,180,63
HS,185,1
HS,188,32
HS,189,11
HS,190,1
HS,193,11
HS,199,37
HS,201,1548
HS,203,327
HS,260,228
HS,299,21
HS,301,17764
HS,302,1
HS,303,1303
HS,304,2
HS,305,74
HS,306,330
HS,308,53
HS,313,1
HS,318,190
HS,326,85
HS,335,4
HS,340,1772
HS,341,312
HS,342,34
HS,343,7286
HS,344,404
HS,346,407
HS,350,6
HS,360,14
HS,361,5
HS,391,604
HS,399,266
HS,401,2449
HS,403,9
HS,501,898
HS,503,23
HS,505,27
HS,510,601
HS,511,660
HS,525,342
HS,526,1
HS,530,1
HS,540,9
HS,544,12
HS,545,54
HS,560,456
HS,561,7
HS,599,9
HS,601,30
HS,602,23
HS,603,6
HS,610,68
HS,620,1
HS,669,5
HS,670,2
HS,671,11
HS,675,5
HS,679,3
HS,681,1
HS,690,20
HS,701,8
HS,704,2
HS,801,450
HS,802,86
HS,803,1
HS,804,3
HS,806,3
HS,808,56
HS,809,24
HS,810,124
HS,819,19
HS,828,20
HS,830,66
HS,840,1
HS,850,50
HS,854,22
HS,855,79
HS,856,94
HS,861,3
HS,871,51
HS,893,8
HS,895,1
HS,896,7
HS,899,3
HS,901,150
HS,904,2
HS,905,2561
HS,930,891
HS,935,6
HS,950,451
HS,962,8
HS,963,246
HS,967,1
HS,986,158
HS,998,11
HS,999,13
HS,1001,63
HS,1015,4
HS,1016,1
HS,1035,295
HS,1040,141
HS,1060,19
HS,1071,50
HS,1082,105
HS,1083,17
HS,1084,64
HS,1101,520
HS,1102,1399
HS,1103,2
HS,1104,8
HS,1105,98
HS,1106,17
HS,1107,1
HS,1109,169
HS,1152,9
HS,1160,5
HS,1163,31
HS,1170,66
HS,1173,72
HS,1176,21
HS,1199,1
HS,1301,110
HS,1306,15
HS,1310,2
HS,1311,4
HS,1313,1
HS,1320,202
HS,1340,4
HS,1360,2
HS,1361,30
HS,1370,10
HS,1371,2
HS,1384,17
HS,1397,32
HS,1399,4
HS,1410,11
HS,1411,7
HS,1412,22
HS,1420,3
HS,1421,2
HS,1501,3
HS,1510,6
HS,1515,186
HS,1520,3
HS,1529,2
HS,1530,66
HS,1531,1
HS,1550,15
HS,1599,1
HS,1601,30
HS,1603,10
HS,1640,90
HS,1654,10
HS,1667,2
HS,1670,160
HS,1701,82
HS,1702,95
HS,1710,93
HS,1712,595
HS,1720,7
HS,1740,29
HS,1750,153
HS,1801,28336
HS,1802,51775
HS,1805,125
HS,1810,85
HS,1811,10651
HS,1881,562
HS,1889,969
HS,1894,443
HS,1895,23352
HS,1896,19466
HS,1899,53
HS,1910,41
HS,2001,45
HS,2003,117
HS,2005,110
HS,2010,183
HS,2030,45
HS,2101,151
HS,2102,76
HS,2130,20
HS,2131,4
HS,2135,2
HS,2150,168
HS,2151,1
HS,2181,5
HS,2185,14
HS,2210,4928
HS,2299,6
HS,2502,1
HS,2602,1
HS,2604,40
HS,2606,37
HS,2610,11
HS,2801,2
HS,2805,102
HS,2810,15
HS,2854,1
HS,2892,26
HS,3106,3
HS,3414,33
HS,3416,2
HS,3501,14
HS,3502,19
HS,3566,3
HS,3603,4
HS,3703,70
HS,3711,1
HS,3801,53
HS,3802,1
HS,3806,59
HS,3809,1
HS,3820,24
HS,4102,90
HS,4204,58
HS,4206,15
HS,4352,12
HS,4604,5
HS,4605,4
HS,4607,26
HS,4701,61
HS,4714,3
HS,4717,19
HS,4737,1
HS,4742,16
HS,4745,1
HS,4749,362
HS,4801,1
HS,4805,2
HS,4840,3
HS,5003,4
HS,5026,1
HS,5048,17
HS,5210,26
HS,5220,10
HS,5301,1
HS,5306,34
HS,5309,1
HS,5323,1
HS,5334,87
HS,5350,5
HS,5378,19
HS,5401,1
HS,5402,9
HS,5406,10
HS,5407,11
HS,5408,1
HS,5409,1
HS,5413,13
HS,5423,23
HS,5701,2
HS,5703,19
HS,5705,1
HS,5716,32
HS,5725,25
HS,5801,5
HS,5803,31
HS,5806,2
HS,5823,376
HS,6641,14
HS,6904,13
HS,6907,114
HS,6910,1
HS,6913,5
HS,6914,2
HS,7002,1
HS,7404,16
HS,7408,12
HS,8601,1
HS,8602,8
HS,8801,29
HS,8840,23
HS,8852,52
HU,18,1
HU,20,1
HU,28,35
HU,80,12
HU,89,7
HU,101,33
HU,110,57
HU,150,1
HU,199,1
HU,201,89
HU,203,3
HU,260,13
HU,301,1035
HU,303,241
HU,305,2
HU,306,9
HU,308,10
HU,318,23
HU,340,53
HU,341,49
HU,342,44
HU,343,830
HU,344,21
HU,360,316
HU,361,26
HU,391,4
HU,399,16
HU,501,131
HU,505,8
HU,510,112
HU,511,305
HU,560,101
HU,599,1
HU,601,1
HU,801,74
HU,808,11
HU,810,4
HU,819,1
HU,828,81
HU,830,2
HU,856,1
HU,904,1
HU,905,375
HU,935,2
HU,950,57
HU,986,3
HU,1001,2
HU,1035,23
HU,1060,1
HU,1071,3
HU,1082,4
HU,1084,6
HU,1101,2319
HU,1102,81
HU,1105,1
HU,1106,1
HU,1109,52
HU,1160,218
HU,1165,2
HU,1170,9
HU,1171,92
HU,1176,1
HU,1301,3
HU,1410,1
HU,1510,3
HU,1515,1
HU,1529,5
HU,1530,4
HU,1654,1
HU,1712,1
HU,1801,1
HU,1805,6
HU,1810,1
HU,1811,188
HU,1910,20
HU,2005,2
HU,2010,5
HU,2210,206
IB,80,8
IB,81,1
IB,86,1
IB,201,19
IB,260,5
IB,301,91
IB,303,13
IB,305,1
IB,308,1
IB,318,2
IB,322,1
IB,340,6
IB,341,25
IB,343,16
IB,346,1
IB,391,43
IB,501,17
IB,510,5
IB,511,1
IB,560,10
IB,801,3
IB,810,1
IB,830,1
IB,855,7
IB,856,23
IB,905,10
IB,1001,697
IB,1035,6
IB,1071,169
IB,1082,77
