theta,gamma,fitness
1.0219133322394767,0.8386828358879658,7.821953398515976
1.0122497090801739,0.8200866133828565,9.233311972614805
1.002505022744493,0.8406400601026162,9.599029751788226
0.9926014887465116,0.7805784151762964,8.670539693857943
0.9743029556250944,0.806148733942903,9.007653828251678
0.9861041520214756,0.8373343254391582,11.05156303183624
0.998168442520947,0.7734642334616523,9.581967457538942
0.9994346366703533,0.7777912897488011,9.124589017553475
1.005486377340553,0.7768526631910353,10.804794414625844
0.9906911678714057,0.8117868379037986,10.042602683362094
1.0273365872179894,0.7756077672682732,8.972205334523203
0.9870850385817935,0.7786739048984413,11.08980848419365
1.0102579582552658,0.8089183633294051,9.478205543729509
1.0144804311040785,0.8512597235585907,11.157690911123856
1.007952996122752,0.814971882107916,11.23934374832689
1.0199236341057247,0.8375000652894679,12.253514025806929
1.0106891319694884,0.8281527719721622,11.150373775790069
1.0229278911455213,0.845223613344591,12.259985354217074
1.0246111392694257,0.8271999660019735,14.16572069088886
1.0263298284385118,0.8507246452023823,14.458858428392473
