theta,gamma,fitness
0.5052842089835422,0.9405377754092377,4.642423853617041
0.5427237769069941,0.9145999907573314,1.7147713497646662
0.34891271480553265,0.7787386314772492,1.269783086397542
0.23931398080324018,0.8010258235288964,2.25759563168821
-0.4952803868535018,0.37182258923511174,3.4302526655817207
-0.4779034864401108,0.30940504247937695,3.435995036321953
0.43615810614456524,0.7147966732116843,1.4909350068216944
0.42719397656485336,0.8947703899925602,1.7779628367654663
0.29112081591242783,0.8622409958176134,1.4082335257241703
0.25906728414402336,0.7666131517631941,1.4494096651540793
0.2653379137783206,0.7785647353966437,5.330003415966861
0.5535823728311278,0.8824242976803747,1.7108674168578752
0.8205583360405275,0.9271489894970499,2.377757085897798
0.7526477677414284,0.969490210208696,1.7144263920635843
-0.16272740469568642,0.6921605312774195,1.7042228226123604
0.31247593527244405,0.8557387447283687,1.9409600110782166
0.7062225103954158,0.9983249198751171,2.6505548871261158
0.431986533586259,0.9245481200440989,2.3707458848113045
0.5140303918854805,0.9186964009798618,2.696326328127153
0.5214077455946349,0.8476358522113482,4.558936589529951
