theta,gamma,fitness
0.33680581526138326,0.7884645268009195,4.330442770720799
0.3648978220900589,0.8580612374856322,2.192535438411585
0.44031860447958737,0.8385368306898706,2.6162950779425187
0.3142096666412275,0.7914396461927579,4.773830991262896
0.34685832854871546,0.8870436592064493,2.857806376021969
,,
0.36519140952635576,0.873434118936435,3.0563508068028655
0.48075816205893557,0.9067238291181214,2.5750950876187053
0.38851201080325604,0.8455403803701983,2.5911880953381283
0.178447619555084,0.8094890037615812,2.3758432948538806
0.5452207706975657,0.841840111604775,2.4368164802656973
0.5711464420101187,0.8887550503195096,1.7838049273563072
0.3725822696515794,0.8950408895454294,2.5129824747192666
0.15616298503246556,0.9271557476159817,2.011527970993514
0.6334649329828734,0.9453030648578922,1.4117138029579177
-0.46510226316145403,0.0025103455350247578,1.6772092451591052
0.9753574126943826,0.892351358336586,2.9558819196174286
-0.257738943975304,0.12986873669544527,2.2328721449135887
0.46057218433297614,0.8789487172546777,2.28992251638407
0.3677168561121673,0.8660163007642766,2.95472429950906
